epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
50,1391.25,0.87747,0.05647,0.06681,0.50206,1.17765,0.99742,1,0.995,0.72392,0.99742,1,0.995,0.995,0.99099,0.03653,0.00829,0.41955,1.44991,0.000383,0.000383,0.000383
51,1414.01,0.87653,0.04901,0.00474,0.44636,1.24944,0.99709,1,0.995,0.72735,0.99709,1,0.995,0.995,1.00514,0.03629,0.00236,0.4298,1.42743,0.00035,0.00035,0.00035
52,1442.53,0.82503,0.05328,0.00229,0.41503,1.21507,0.99695,1,0.995,0.73532,0.99695,1,0.995,0.995,1.0114,0.03754,0.00171,0.43053,1.46149,0.000317,0.000317,0.000317
53,1461.75,0.76555,0.04836,0.00167,0.39515,1.18444,0.99696,1,0.995,0.7629,0.99696,1,0.995,0.995,0.96649,0.04525,0.00117,0.42855,1.39926,0.000284,0.000284,0.000284
54,1480.02,0.77746,0.04711,0.00181,0.39485,1.1287,0.99702,1,0.995,0.76453,0.99702,1,0.995,0.995,0.90225,0.03579,0.00099,0.38311,1.33376,0.000251,0.000251,0.000251
55,1498.54,0.75207,0.0488,0.00169,0.38468,1.15595,0.99706,1,0.995,0.76347,0.99706,1,0.995,0.995,0.85059,0.03111,0.00151,0.39061,1.30892,0.000218,0.000218,0.000218
56,1517.54,0.67663,0.04445,0.00186,0.3659,1.11242,0.99697,1,0.995,0.78126,0.99697,1,0.995,0.995,0.84816,0.03136,0.00211,0.38988,1.30172,0.000185,0.000185,0.000185
57,1536.17,0.67836,0.04017,0.00178,0.36519,1.10275,0.99693,1,0.995,0.79073,0.99693,1,0.995,0.995,0.79993,0.03129,0.00201,0.39057,1.27107,0.000152,0.000152,0.000152
58,1558.87,0.68031,0.04175,0.00174,0.37745,1.1002,0.99692,1,0.995,0.78612,0.99692,1,0.995,0.995,0.82504,0.03209,0.00206,0.3954,1.29796,0.000119,0.000119,0.000119
59,1578.2,0.64477,0.04196,0.00173,0.36088,1.08641,0.99694,1,0.995,0.80312,0.99694,1,0.995,0.995,0.81617,0.0327,0.0019,0.38617,1.29493,8.6e-05,8.6e-05,8.6e-05
60,1593.43,0.63052,0.04054,0.0015,0.34847,1.08349,0.99697,1,0.995,0.80731,0.99697,1,0.995,0.995,0.82247,0.03249,0.00166,0.37193,1.28797,5.3e-05,5.3e-05,5.3e-05
